road,id,model_type,name,lat,lon,length,condition,bridge_name
N1,318,bridge,bridge,22.999248756,91.3957752,1.5,A,RAMPUR BOX CULVERT
N1,319,link,link,23.0018889,91.3920552,1407.0,,
N1,320,link,link,23.009555600000002,91.3813604,614.0,,
N1,321,bridge,bridge,23.0124048410423,91.3779796149837,3.4,A,CHARIPUR CULVERT.
N1,322,link,link,23.0132778,91.37694379999999,125.0,,
N1,323,link,link,23.014083300000003,91.37597159999999,724.0,,
N1,324,link,link,23.0185271,91.37083270000001,151.0,,
N1,325,link,link,23.0193604,91.3697771,761.0,,
N1,326,link,link,23.024832699999997,91.3655278,240.0000000000291,,
N1,327,link,link,23.026971600000003,91.3655,286.9999999999709,,
N1,328,bridge,bridge,23.0269801170731,91.3655004839721,1.6,A,DEBIPUR SLAB CULVERT
N1,329,link,link,23.029416,91.36563890000001,734.9999999999709,,
N1,330,link,link,23.0360274,91.36575,468.0000000000291,,
N1,331,bridge,bridge,23.0379728055555,91.3656784724359,10.8,A,FATAPUR BOX CULVERT
N1,332,link,link,23.0398052,91.3656111,336.0,,
N1,333,link,link,23.0427774,91.3654444,195.9999999999709,,
N1,334,link,link,23.044971899999997,91.36536109999999,521.0000000000291,,
N1,335,link,link,23.047944100000002,91.3651389,500.0,,
N1,336,link,link,23.0538611,91.36372220000001,882.0,,
N1,337,bridge,bridge,23.0607473333333,91.3618624619047,4.0,B,MOHAMMAD ALI MAZAR
N1,338,link,link,23.061472199999997,91.3616667,230.0,,
N1,339,link,link,23.063527800000003,91.3616389,18.0,,
N1,340,link,link,23.0636944,91.3616389,611.0,,
N1,341,link,link,23.0688604,91.36072220000001,275.0,,
N1,342,bridge,bridge,23.070198184,91.3603022,6.1,B,DUTHOSHA BOX CULVERT
N1,343,link,link,23.0712493,91.3599722,234.0,,
N1,344,link,link,23.0732493,91.3594167,766.0,,
N1,345,bridge,bridge,23.0779647046997,91.3566005031331,14.2,B,KOKALI BOX CULVERT
N1,346,link,link,23.0792493,91.3558333,193.0,,
N1,347,link,link,23.0806938,91.35494440000001,17.0,,
N1,348,link,link,23.0808049,91.3548611,527.0,,
